"id","名稱","敘述","類別","子類別","攻擊","防禦","重量","買價","賣價"
"501","紅色藥水","將紅色藥草搗碎製成的體力恢復劑, HP恢復45。","消耗/恢復","-","0","0","7","10","10"
"502","赤色藥水","將紅色藥草與黃色藥草搗碎製成的體力恢復劑, HP恢復105。","消耗/恢復","-","0","0","10","50","10"
"503","黃色藥水","將黃色藥草搗碎製成的體力恢復劑, HP恢復175。","消耗/恢復","-","0","0","13","180","10"
"504","白色藥水","將白色的藥草搗碎製成的體力恢復劑,約可恢復325點HP。","消耗/恢復","-","0","0","15","1200","10"
"505","藍色藥水","將藍色藥草磨碎後製成的精神力恢復劑恢復SP約60。","消耗/恢復","-","0","0","15","5000","10"
"506","綠色藥水","將綠色的藥草搗碎製成的治療劑,可以治療 毒與 沉默與 暗黑與 混亂, 幻覺的狀態。","消耗/恢復","-","0","0","7","40","10"
"507","紅色藥草","在治療傷處上有一定功效的珍貴藥草,可恢復少量的HP。","消耗/恢復","-","0","0","3","18","9"
"508","黃色藥草","在治療傷處上有相當功效的珍貴藥草,可恢復少量的HP。","消耗/恢復","-","0","0","5","40","20"
"509","白色藥草","治療傷口非常有效的珍貴藥草，可恢復少量的HP。","消耗/恢復","-","0","0","7","120","60"
"510","藍色藥草","特殊的香氣能讓精神飽滿，是一種相當珍貴的藥草，可恢復少量的SP。","消耗/恢復","-","0","0","7","60","30"
"511","綠色藥草","可中和所有毒性的珍貴藥草,具有治療的功效解毒。","消耗/恢復","-","0","0","3","10","5"
"512","蘋果","清爽香甜的水果,可恢復少量的HP。","消耗/恢復","-","0","0","2","15","7"
"513","香蕉","香甜好吃的水果,可恢復少量的HP。","消耗/恢復","-","0","0","2","15","7"
"514","葡萄","清新且味道酸的水果,可恢復少量SP。","消耗/恢復","-","0","0","2","200","100"
"515","紅蘿蔔","紅色的蔬菜。味道香甜,常被拿來作菜食用 可恢復少量的HP。","消耗/恢復","-","0","0","2","15","7"
"516","蕃薯","含有豐富的澱粉,味道香甜,常被拿來食用 可恢復少量的HP。","消耗/恢復","-","0","0","2","15","7"
"517","肉","味道很棒。可恢復少量的HP。","消耗/恢復","-","0","0","15","50","25"
"518","蜂蜜","香甜且黏稠的液體。主要用來食用，營養價值高，也會當作藥物使用。恢復少量的HP和SP。","消耗/恢復","-","0","0","10","500","250"
"519","牛奶","乳牛的牛奶加工而成的液體,被視為小孩子成長期時最具營養價值的食品。可恢復少量HP。","消耗/恢復","-","0","0","3","25","12"
"520","西納雷葉子","名為西納雷花的葉子。葉子散發一股舒暢與清爽的香氣，讓人能忘卻傷口的疼痛，並且恢復體力。可恢復適當量的HP。","消耗/恢復","-","0","0","1","150","10"
"521","蘆薈葉子","將蘆薈的葉子剪下收集在一起,可恢復定量的HP。","消耗/恢復","-","0","0","2","360","180"
"522","瑪絲黛拉果實","瑪絲黛拉樹上采下的紫色果實,可恢復大量的HP。","消耗/恢復","-","0","0","3","8500","4250"
"523","聖水","為了在婚禮上使用而降臨祝福的水。治療詛咒。","消耗/恢復","-","0","0","3","20","10"
"525","萬能藥","幾乎可以恢復所有陷入異常狀態的神秘藥水。","消耗/恢復","-","0","0","10","500","250"
