"ID","中文名稱","英文名稱","等級","HP","種族","體型","屬性","經驗值","職業經驗值","防禦","魔防","100%命中(僅供參考)","95%迴避(僅供參考)","掉落物","出沒地"
"1002","波利","PORING","1","55","植物","中","水 1","150","30","2","5","203","178","(服飾)小波利小娃娃(歸屬)(???%), (服飾)波波利圍巾(歸屬)(???%), 傑勒比結晶(70.0%), 波利卡片(0.2%), 短劍[4](1.0%), 粘稠液體(4.0%), 蒼蠅翅膀(5.0%), 蘋果(1.5%), 蘋果(10.0%), 青澀蘋果(0.2%), 青蘋果(0.2%)","gef_fild00(吉芬區域), gef_fild07(吉芬區域), maz_d01_a(迷宮森林1樓), maz_d01_b(迷宮森林1樓), maz_d01_z(迷宮森林1樓), pay_f01_a(斐揚森林), pay_f01_b(斐揚森林), pay_f01_z(斐揚森林), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_f04_a(蘇克拉特沙漠), pay_f04_b(蘇克拉特沙漠), pay_f04_z(蘇克拉特沙漠), pay_fild01(斐揚森林), pay_fild03(斐揚森林), pay_fild04(蘇克拉特沙漠), prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild01(普隆德拉區域), prt_fild06(普隆德拉區域), prt_fild08(普隆德拉區域), prt_maze01(迷宮森林1樓), xma_d01_a(玩具工廠倉庫), xma_d01_b(玩具工廠倉庫), xma_d01_z(玩具工廠倉庫), xmas_dun01(玩具工廠倉庫)"
"1078","紅草","RED_PLANT","1","5","植物","小","地 1","","","100","99","202","172","曼特花(0.5%), 植物梗(5.0%), 毛(2.5%), 紅色藥草(50.0%), 花(5.0%), 花葉(0.2%), 芽苗(5.0%)","gef_d00_a(吉芬地下密穴1樓), gef_d00_b(吉芬地下密穴1樓), gef_d00_z(吉芬地下密穴1樓), gef_dun00(吉芬地下密穴1樓), gef_f05_a(冷豔舞姬村), gef_f05_b(冷豔舞姬村), gef_f05_z(冷豔舞姬村), gef_fild05(冷豔舞姬村), pay_d00_a(斐揚洞穴1樓), pay_d00_b(斐揚洞穴1樓), pay_d00_z(斐揚洞穴1樓), pay_d01_a(斐揚洞穴2樓), pay_d01_b(斐揚洞穴2樓), pay_d01_z(斐揚洞穴2樓), pay_d02_a(斐揚洞穴3樓), pay_d02_b(斐揚洞穴3樓), pay_d02_z(斐揚洞穴3樓), pay_d03_a(斐揚洞穴4樓-廢村), pay_d03_b(斐揚洞穴4樓-廢村), pay_d03_z(斐揚洞穴4樓-廢村), pay_d04_a(斐揚洞穴5樓-廢村), pay_d04_b(斐揚洞穴5樓-廢村), pay_d04_z(斐揚洞穴5樓-廢村), pay_dun00(斐揚洞穴1樓), pay_dun01(斐揚洞穴2樓), pay_dun02(斐揚洞穴3樓), pay_dun03(斐揚洞穴4樓-廢村), pay_dun04(斐揚洞穴5樓-廢村), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓), um_fild02(汶巴拉滬家森林), um_fild04(汶巴拉滬家叢林)"
"1079","藍草","BLUE_PLANT","1","10","植物","小","地 1","521","104","100","99","202","172","植物梗(2.5%), 瑪絲黛拉果實(0.25%), 花(5.0%), 芽苗(5.0%), 草葉(0.01%), 葡萄(5.0%), 藍色藥草(27.5%)","cmd_fild01(巴不其卡森林), gef_d01_a(吉芬地下密穴2樓), gef_d01_b(吉芬地下密穴2樓), gef_d01_z(吉芬地下密穴2樓), gef_dun01(吉芬地下密穴2樓), gef_f10_a(獸人村), gef_f10_b(獸人村), gef_f10_z(獸人村), gef_fild00(吉芬區域), gef_fild02(吉芬區域), gef_fild07(吉芬區域), gef_fild08(吉芬區域), gef_fild09(吉芬區域), gef_fild10(獸人村), glast_01(克雷斯特漢姆), moc_fild17(蘇克拉特沙漠), pay_d03_a(斐揚洞穴4樓-廢村), pay_d03_b(斐揚洞穴4樓-廢村), pay_d03_z(斐揚洞穴4樓-廢村), pay_dun03(斐揚洞穴4樓-廢村), pay_fild10(斐揚森林), prt_fild01(普隆德拉區域), prt_fild03(普隆德拉區域), prt_fild05(普隆德拉區域), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓), um_fild03(汶巴拉卡拉拉森林)"
"1080","綠草","GREEN_PLANT","1","5","植物","小","地 1","","","100","99","202","172","植物梗(15.0%), 綠色藥草(35.0%), 苦味草(0.1%), 草葉(0.01%), 蘆薈(0.25%), 蘆薈葉子(0.25%), 鱗片梗(7.5%)","cmd_fild01(巴不其卡森林), gef_d00_a(吉芬地下密穴1樓), gef_d00_b(吉芬地下密穴1樓), gef_d00_z(吉芬地下密穴1樓), gef_dun00(吉芬地下密穴1樓), gef_f04_a(吉芬區域), gef_f04_b(吉芬區域), gef_f04_z(吉芬區域), gef_f10_a(獸人村), gef_f10_b(獸人村), gef_f10_z(獸人村), gef_fild00(吉芬區域), gef_fild01(吉芬區域), gef_fild02(吉芬區域), gef_fild03(吉芬區域), gef_fild04(吉芬區域), gef_fild07(吉芬區域), gef_fild10(獸人村), glast_01(克雷斯特漢姆), moc_fild02(蘇克拉特沙漠), moc_fild03(蘇克拉特沙漠), pay_d03_a(斐揚洞穴4樓-廢村), pay_d03_b(斐揚洞穴4樓-廢村), pay_d03_z(斐揚洞穴4樓-廢村), pay_dun03(斐揚洞穴4樓-廢村), pay_f01_a(斐揚森林), pay_f01_b(斐揚森林), pay_f01_z(斐揚森林), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_f04_a(蘇克拉特沙漠), pay_f04_b(蘇克拉特沙漠), pay_f04_z(蘇克拉特沙漠), pay_f08_a(斐揚森林), pay_f08_b(斐揚森林), pay_f08_z(斐揚森林), pay_fild01(斐揚森林), pay_fild02(斐揚森林), pay_fild03(斐揚森林), pay_fild04(蘇克拉特沙漠), pay_fild06(斐揚森林), pay_fild07(斐揚森林), pay_fild08(斐揚森林), pay_fild09(斐揚森林), pay_fild10(斐揚森林), prt_fild00(普隆德拉區域), prt_fild01(普隆德拉區域), prt_fild03(普隆德拉區域), prt_fild04(普隆德拉區域), prt_fild05(普隆德拉區域), prt_fild06(普隆德拉區域), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓), um_fild01(汶巴拉嚕嚕卡森林), um_fild03(汶巴拉卡拉拉森林)"
"1081","黃草","YELLOW_PLANT","1","6","植物","小","地 1","","","100","99","202","172","哀唱草(0.03%), 植物梗(2.5%), 毛(2.5%), 花(5.0%), 花葉(0.01%), 芽苗(5.0%), 黃色藥草(27.5%)","cmd_fild06(山特樂曼西區), cmd_fild08(山特樂曼東區), gef_d00_a(吉芬地下密穴1樓), gef_d00_b(吉芬地下密穴1樓), gef_d00_z(吉芬地下密穴1樓), gef_dun00(吉芬地下密穴1樓), moc_f12_a(蘇克拉特沙漠), moc_f12_b(蘇克拉特沙漠), moc_f12_z(蘇克拉特沙漠), moc_f18_a(蘇克拉特沙漠), moc_f18_b(蘇克拉特沙漠), moc_f18_z(蘇克拉特沙漠), moc_fild01(蘇克拉特沙漠), moc_fild02(蘇克拉特沙漠), moc_fild07(蘇克拉特沙漠), moc_fild12(蘇克拉特沙漠), moc_fild13(蘇克拉特沙漠), moc_fild17(蘇克拉特沙漠), moc_fild18(蘇克拉特沙漠), pay_d03_a(斐揚洞穴4樓-廢村), pay_d03_b(斐揚洞穴4樓-廢村), pay_d03_z(斐揚洞穴4樓-廢村), pay_dun03(斐揚洞穴4樓-廢村), prt_fild09(普隆德拉區域), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓), um_fild01(汶巴拉嚕嚕卡森林), um_fild02(汶巴拉滬家森林), um_fild04(汶巴拉滬家叢林)"
"1082","白草","WHITE_PLANT","1","7","植物","小","地 1","","","100","99","202","172","植物梗(15.0%), 白色藥草(27.5%), 花(5.0%), 花葉(0.01%), 蘆薈葉子(0.25%), 西納雷花(0.25%), 青嫩毒草(0.1%)","gef_d01_a(吉芬地下密穴2樓), gef_d01_b(吉芬地下密穴2樓), gef_d01_z(吉芬地下密穴2樓), gef_d02_a(吉芬地下密穴3樓), gef_d02_b(吉芬地下密穴3樓), gef_d02_z(吉芬地下密穴3樓), gef_dun01(吉芬地下密穴2樓), gef_dun02(吉芬地下密穴3樓), orc_d01_a(獸人地下洞窟1樓), orc_d01_b(獸人地下洞窟1樓), orc_d01_z(獸人地下洞窟1樓), orc_d02_a(獸人地下洞窟2樓), orc_d02_b(獸人地下洞窟2樓), orc_d02_z(獸人地下洞窟2樓), orcsdun01(獸人地下洞窟1樓), orcsdun02(獸人地下洞窟2樓), pay_d02_a(斐揚洞穴3樓), pay_d02_b(斐揚洞穴3樓), pay_d02_z(斐揚洞穴3樓), pay_d03_a(斐揚洞穴4樓-廢村), pay_d03_b(斐揚洞穴4樓-廢村), pay_d03_z(斐揚洞穴4樓-廢村), pay_d04_a(斐揚洞穴5樓-廢村), pay_d04_b(斐揚洞穴5樓-廢村), pay_d04_z(斐揚洞穴5樓-廢村), pay_dun02(斐揚洞穴3樓), pay_dun03(斐揚洞穴4樓-廢村), pay_dun04(斐揚洞穴5樓-廢村), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓)"
"1083","光芒草","SHINING_PLANT","1","20","植物","小","聖 1","","","100","99","220","202","天地樹果實(0.05%), 天地樹芽(0.05%), 幻想花(0.03%), 白色藥草(10.0%), 華麗金屬(0.05%), 藍色藥草(50.0%), 蜂蜜(5.0%), 黃色藥草(10.0%)","cmd_fild01(巴不其卡森林), cmd_fild03(基乃依沼澤地), gef_d02_a(吉芬地下密穴3樓), gef_d02_b(吉芬地下密穴3樓), gef_d02_z(吉芬地下密穴3樓), gef_dun02(吉芬地下密穴3樓), gef_fild02(吉芬區域), gef_fild06(吉芬區域), gef_fild07(吉芬區域), pay_d04_a(斐揚洞穴5樓-廢村), pay_d04_b(斐揚洞穴5樓-廢村), pay_d04_z(斐揚洞穴5樓-廢村), pay_dun04(斐揚洞穴5樓-廢村), pay_f04_a(蘇克拉特沙漠), pay_f04_b(蘇克拉特沙漠), pay_f04_z(蘇克拉特沙漠), pay_f08_a(斐揚森林), pay_f08_b(斐揚森林), pay_f08_z(斐揚森林), pay_fild04(蘇克拉特沙漠), pay_fild06(斐揚森林), pay_fild08(斐揚森林), pay_fild09(斐揚森林), prt_f02_a(普隆德拉區域), prt_f02_b(普隆德拉區域), prt_f02_z(普隆德拉區域), prt_fild00(普隆德拉區域), prt_fild02(普隆德拉區域), prt_fild10(普隆德拉區域), um_fild01(汶巴拉嚕嚕卡森林), um_fild03(汶巴拉卡拉拉森林)"
"1084","黑菇","BLACK_MUSHROOM","1","5","植物","小","地 1","","","100","99","202","172","帝特立米藥水(0.5%), 柔毛(20.0%), 毒魔菇芽孢(50.0%), 水靈礦石(8.0%), 酒精(0.5%), 青苔(0.2%), 香菇芽孢(50.0%)","gef_d00_a(吉芬地下密穴1樓), gef_d00_b(吉芬地下密穴1樓), gef_d00_z(吉芬地下密穴1樓), gef_d01_a(吉芬地下密穴2樓), gef_d01_b(吉芬地下密穴2樓), gef_d01_z(吉芬地下密穴2樓), gef_dun00(吉芬地下密穴1樓), gef_dun01(吉芬地下密穴2樓), gl_k01_a(騎士團1樓), gl_k01_b(騎士團1樓), gl_k01_z(騎士團1樓), gl_knt01(騎士團1樓), iz_d00_a(海盜地洞密穴1樓), iz_d00_b(海盜地洞密穴1樓), iz_d00_z(海盜地洞密穴1樓), iz_d01_a(海盜地洞密穴2樓), iz_d01_b(海盜地洞密穴2樓), iz_d01_z(海盜地洞密穴2樓), iz_d02_a(海盜地洞密穴3樓), iz_d02_b(海盜地洞密穴3樓), iz_d02_z(海盜地洞密穴3樓), iz_dun00(海底洞穴1樓), iz_dun01(海底洞穴2樓), iz_dun02(海底洞穴3樓), orc_d01_a(獸人地下洞窟1樓), orc_d01_b(獸人地下洞窟1樓), orc_d01_z(獸人地下洞窟1樓), orc_d02_a(獸人地下洞窟2樓), orc_d02_b(獸人地下洞窟2樓), orc_d02_z(獸人地下洞窟2樓), orcsdun01(獸人地下洞窟1樓), orcsdun02(獸人地下洞窟2樓), pay_d00_a(斐揚洞穴1樓), pay_d00_b(斐揚洞穴1樓), pay_d00_z(斐揚洞穴1樓), pay_d01_a(斐揚洞穴2樓), pay_d01_b(斐揚洞穴2樓), pay_d01_z(斐揚洞穴2樓), pay_d02_a(斐揚洞穴3樓), pay_d02_b(斐揚洞穴3樓), pay_d02_z(斐揚洞穴3樓), pay_dun00(斐揚洞穴1樓), pay_dun01(斐揚洞穴2樓), pay_dun02(斐揚洞穴3樓), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓)"
"1085","紅菇","RED_MUSHROOM","1","5","植物","小","地 1","","","100","99","202","172","卡勒波迪藥水(0.5%), 柔毛(10.0%), 毒魔菇芽孢(50.0%), 火靈礦石(5.0%), 酒精(0.5%), 青苔(0.2%), 香菇芽孢(50.0%)","gef_fild02(吉芬區域), gef_fild09(吉芬區域), mjolnir_06(妙勒尼山脈南區), mjolnir_07(妙勒尼山脈南區), mjolnir_09(妙勒尼山脈南邊山麓), moc_fild13(蘇克拉特沙漠), pay_f03_a(斐揚森林), pay_f03_b(斐揚森林), pay_f03_z(斐揚森林), pay_fild02(斐揚森林), pay_fild03(斐揚森林), pay_fild06(斐揚森林), prt_f11_a(普隆德拉區域), prt_f11_b(普隆德拉區域), prt_f11_z(普隆德拉區域), prt_fild10(普隆德拉區域), prt_fild11(普隆德拉區域), treasure_n1(依斯魯得島失事輪1樓), treasure_n2(依斯魯得島失事輪2樓)"
"2398","寶貝波利","LITTLE_PORING","1","40","植物","小","水 1","24","4","2","5","203","178","傑勒比結晶(90.0%), 寶貝波利卡片(1.0%), 短劍[4](1.0%), 粘稠液體(10.0%), 紅色藥草(10.0%), 蘋果(5.0%), 蘋果(50.0%)","prt_f08_a(普隆德拉區域), prt_f08_b(普隆德拉區域), prt_f08_z(普隆德拉區域), prt_fild08(普隆德拉區域)"
