回報者名稱,時間,怪物 ID,怪物名稱,基本數值異動,移除掉落物,新增掉落物,移除地圖,新增地圖,地圖座標,是否修正,處理狀態
,2025/12/1 下午 4:57:21,1283,凱美拉,"血量: 26,406 -> 26,407",,,,,,FALSE,
,2025/12/1 下午 8:17:04,1145,土撥鼠,,蒼蠅翅膀(601),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/2 上午 9:20:40,1117,闇神官,,"聖職之帽(2217), 白色藥草(509), 抗魔斗篷(480382)",鐵製鎧甲(450348),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/2 上午 9:20:40,1313,流氓,"血量: 5,278 -> 5,400
物理防禦: 87 -> 88",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:22:35,1295,鴞裊男爵,"血量: 21,000 -> 151,418",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:23:16,1267,卡拉特小丑,"血量: 9,222 -> 55,686",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:23:42,1320,鴞裊首領,"血量: 7,381 -> 35,788",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:24:09,1260,鏡妖,"血量: 3,520 -> 13,881",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:24:44,1195,飛行魔書,"血量: 3,222 -> 10,563",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:25:02,1281,賢者蟲,"血量: 2,872 -> 8,501",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:29:01,1219,深淵騎士,"血量: 23,297 -> 85,457",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:29:19,1132,卡利斯格,"血量: 23,986 -> 33,320",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:29:36,1163,幽靈劍士,"血量: 18,408 -> 26,226",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:29:54,1276,幽靈弓箭手,"血量: 4,437 -> 19,716",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:31:13,20380,火魔巫師,"血量: 2,410,282 -> 64,949
物理防禦: 237 -> 67
魔法防禦: 118 -> 102",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:31:42,20379,冰魔巫師,"血量: 2,418,315 -> 69,300
物理防禦: 390 -> 67
魔法防禦: 115 -> 102",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:32:04,1263,風魔巫師,"血量: 4,008 -> 58,685",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:32:31,1253,蝙蝠弓箭手,"血量: 8,772 -> 9,233",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:33:06,1194,捲甲蟲,"血量: 10,020 -> 14,944",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:33:36,1207,史汀,"血量: 10,143 -> 8,838",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:33:59,1206,虎蜥人,"血量: 15,547 -> 67,099",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:35:00,1310,狂暴米洛斯,"血量: 11,801 -> 28,877",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:40:02,1208,邪骸浪人,"血量: 19,307 -> 31,732",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:40:37,1192,惡靈,"血量: 5,168 -> 16,997",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:41:05,1198,暗黑祭司,"血量: 15,216 -> 31,360",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:41:55,1197,腐屍戰俘,"血量: 8,045 -> 30,713",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:42:13,1257,邪惡使者,"血量: 7,952 -> 38,413",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:42:33,1201,瑞比歐,"血量: 44,411 -> 48,701",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:42:59,1202,阿修羅狂戰士,"血量: 11,000 -> 47,704",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:43:29,1196,邪骸戰俘,"血量: 9,194 -> 34,799",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 7:43:58,20371,越獄腐屍,"血量: 2,375,279 -> 30,138
物理防禦: 297 -> 162
魔法防禦: 105 -> 70",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/2 下午 11:40:46,1088,蝗蟲之王,,,小提琴(570057),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 上午 1:14:04,1275,愛麗絲女僕,,,狂暴野貓帽子(5557),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 上午 8:41:41,1207,史汀,"血量: 10,143 -> 12,000",,,,,,TRUE,成功於 2025-12-03 16:12 處理
,2025/12/3 下午 12:28:14,1206,虎蜥人,,,西裝外套(2320),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 下午 12:35:16,1206,虎蜥人,,,大馬士革短劍(510132),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 下午 2:04:32,1275,愛麗絲女僕,,,狂暴野貓帽子(5557),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 下午 2:05:45,1163,幽靈劍士,,,王室騎士長矛(26016),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/3 下午 2:07:34,1264,人魚士兵,,德瑞尹長戟(630037),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/3 下午 7:04:52,1278,鐘乳巨石怪,,,彎刃長矛(630044),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/3 下午 9:49:06,1283,凱美拉,"血量: 26,406 -> 216,786",,,,,,TRUE,成功於 2026-01-13 16:37 處理
二天一流,2025/12/3 下午 11:37:32,1686,獸人嬰兒,,,德克短劍(510143),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/4 上午 10:59:03,1049,小雞,,(服飾)蛋殼小雞玩偶(歸屬)(400831),(服飾)跳躍的小雞(歸屬)(400830),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/4 上午 10:59:19,1050,蛋殼小雞,,(服飾)跳躍的小雞(歸屬)(400830),(服飾)蛋殼小雞玩偶(歸屬)(400831),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/4 上午 11:43:59,1207,史汀,,,史汀帽子(5509),,,,TRUE,成功於 2026-01-27 10:01 處理
青楓,2025/12/4 下午 5:32:30,1157,法老王,"血量: ??? -> 128,587,500
物理防禦: 124 -> 186
魔法防禦: 269 -> 403",,,,,,TRUE,成功於 2025-12-04 17:53 處理
青楓,2025/12/4 下午 5:33:17,1046,死靈,"血量: ??? -> 62,923,671
物理防禦: 246 -> 295
魔法防禦: 86 -> 103",,,,,,TRUE,成功於 2025-12-04 17:53 處理
青楓,2025/12/4 下午 5:34:08,1039,巴風特,"血量: ??? -> 91,182,000
物理防禦: 379 -> 492
魔法防禦: 45 -> 58",,,,,,TRUE,成功於 2025-12-04 17:53 處理
青楓,2025/12/4 下午 5:34:45,1389,德古拉男爵,"血量: ??? -> 52,500,000",,,,,,TRUE,成功於 2025-12-04 17:53 處理
,2025/12/4 下午 8:51:20,1155,畢帝特地龍,"經驗值: ??? -> 14,167",,,,,,TRUE,成功於 2025-12-04 21:48 處理
,2025/12/4 下午 8:57:31,1139,螳螂,"經驗值: 7,010 -> 7,741",,,,,,TRUE,成功於 2025-12-04 21:48 處理
,2025/12/4 下午 8:58:25,1037,黑蛇,"經驗值: 8,008 -> 9,575",,,,,,TRUE,成功於 2025-12-04 21:48 處理
,2025/12/5 下午 12:18:58,1192,惡靈,"經驗值: ??? -> 10,199",,,,,,TRUE,成功於 2025-12-05 14:40 處理
,2025/12/5 下午 12:21:35,1117,闇神官,"經驗值: ??? -> 11,329",,,,,,TRUE,成功於 2025-12-05 14:40 處理
,2025/12/6 下午 5:08:37,1117,闇神官,,,斗篷(480381),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/6 下午 8:10:11,1198,暗黑祭司,"經驗值: ??? -> 18,063",,,,,,TRUE,成功於 2025-12-07 13:42 處理
,2025/12/6 下午 10:48:04,1132,卡利斯格,,,卡利斯格騎士團鎧甲(15281),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/6 下午 11:47:01,1206,虎蜥人,,,水靈箭矢筒(12012),,,,TRUE,成功於 2026-01-27 10:01 處理
青楓,2025/12/7 上午 1:49:21,1265,綠餅人,"物理防禦: 56 -> 112
魔法防禦: 28 -> 56",,,,,,TRUE,成功於 2025-12-07 13:42 處理
,2025/12/7 上午 6:51:53,1163,幽靈劍士,,,日本刀(500098),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/7 上午 7:40:24,1283,凱美拉,,,卡塔勒拳刃(610082),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/7 上午 7:59:07,1283,凱美拉,"經驗值: ??? -> 136,574",,,,,,TRUE,成功於 2025-12-07 13:42 處理
Henry,2025/12/7 上午 11:35:57,1195,飛行魔書,,,書(540106),,,,TRUE,成功於 2026-01-27 10:02 處理
,2025/12/7 下午 8:54:05,1151,麥斯特,,,圓柄馬刀(500112),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/7 下午 9:06:20,1295,鴞裊男爵,,,角弓(700084),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/7 下午 9:59:19,1151,麥斯特,,,圓柄馬刀(500112),,,,TRUE,成功於 2026-01-27 10:06 處理
,2025/12/8 上午 7:47:18,1257,邪惡使者,,,騎士長矛(630036),,,,TRUE,成功於 2026-01-27 10:06 處理
路過的豬,2025/12/8 上午 7:48:28,1201,瑞比歐,,,亞伯雷弓(700113),,,,TRUE,成功於 2026-01-27 10:01 處理
路過的豬,2025/12/8 下午 3:55:38,1197,腐屍戰俘,,,日本刀(500098),,,,TRUE,成功於 2026-01-27 10:01 處理
,2025/12/8 下午 8:38:41,1209,藍鼠,,,圓柄馬刀(500112),,,,TRUE,成功於 2026-01-27 10:06 處理
m,2025/12/9 上午 4:15:22,1109,小惡魔,,,(服飾)調皮惡魔之影(歸屬)(420573),,,,TRUE,成功於 2026-01-27 10:01 處理
