回報者名稱,時間,物品 ID,物品名稱,基本數值異動,移除魔物,掉落魔物,是否已修正,處理狀態
萬惡天,2025/12/23 下午 3:36:13,510131,雙刃短劍,洞數: 2 -> 3,,邪骸士兵(1028),TRUE,成功於 2026-02-24 10:13 處理
萬惡天,2025/12/23 下午 3:36:36,510132,大馬士革短劍,洞數: 1 -> 2,,邪骸食人魚(1064),TRUE,成功於 2026-02-24 10:13 處理
萬惡天,2025/12/23 下午 3:47:36,510130,大駒短劍,洞數: 2 -> 3,,邪骸士兵(1028),TRUE,成功於 2026-02-24 10:13 處理
萬惡天,2025/12/23 下午 4:07:25,500116,騎兵之劍,洞數: 2 -> 3,,邪骸士兵(1028),TRUE,成功於 2026-02-24 10:13 處理
,2025/12/27 下午 10:14:32,7053,賽依伐,賣價: 10 -> 300,,,TRUE,成功於 2026-02-24 10:13 處理
風星,2026/1/3 上午 2:08:59,19830,(服飾)太陽眼鏡,,,邪惡箱(1191),TRUE,成功於 2026-02-24 10:13 處理
風星,2026/1/3 上午 2:09:42,410405,(服飾)太陽眼鏡(歸屬),,,邪惡箱(1191),TRUE,成功於 2026-02-24 10:13 處理
翻滾吧社畜,2026/1/3 下午 9:00:14,1154,亞爾特劍,,,白蟻(1095),TRUE,成功於 2026-02-24 10:13 處理
大獅子,2026/1/14 上午 9:01:01,19376,冰凍玫瑰,,,水靈龜(1319),TRUE,成功於 2026-02-24 10:13 處理
大獅子,2026/1/14 上午 9:01:45,28949,寶石鋼盾,,,風靈龜(1315),TRUE,成功於 2026-02-24 10:13 處理
RK,2026/1/14 下午 8:46:11,401189,(服飾)智慧金頭腦(歸屬),,,巫婆(1102),TRUE,成功於 2026-02-24 10:13 處理
RK,2026/1/17 下午 7:51:21,401191,(服飾)刺刺龜殼帽(歸屬),,,風靈龜(1315),TRUE,成功於 2026-02-24 10:13 處理
,2026/2/13 上午 8:11:55,420724,(服飾)假面鬼披肩(歸屬),,假面鬼(1506),,TRUE,成功於 2026-02-24 10:13 處理
希唯晴,2026/2/20 下午 9:29:56,1002715,浸溼的頭骨,,,邪骸浪人(1208),TRUE,成功於 2026-02-24 10:18 處理
希唯晴,2026/2/20 下午 9:30:08,1002716,浸溼的遺骨,,,風魔巫師(1263),TRUE,成功於 2026-02-24 10:18 處理
希唯晴,2026/2/20 下午 9:30:22,1002717,浸溼的鼻環,,,狂暴米洛斯(1310),TRUE,成功於 2026-02-24 10:18 處理
希唯晴,2026/2/20 下午 9:30:38,1002718,浸溼的圍裙,,,愛麗絲女僕(1275),TRUE,成功於 2026-02-24 10:18 處理
希唯晴,2026/2/20 下午 9:30:55,1002719,浸溼的冰牙,,,卡崙寶寶(1515),TRUE,成功於 2026-02-24 10:19 處理
希唯晴,2026/2/20 下午 9:33:24,1002723,浸溼的灰燼,,,南瓜魂(1509),TRUE,成功於 2026-02-24 10:19 處理
,2026/2/26 下午 8:26:44,548,起士,"買價: 2,800 -> 28",,,TRUE,成功於 2026-02-28 23:29 處理
e,2026/3/14 下午 1:42:22,27275,血腥騎士卡片,"需求等級: 0 -> 1
買價: 0 -> 1
賣價: 0 -> 1",,,FALSE,
,2026/3/14 下午 1:49:41,27275,血腥騎士卡片,"需求等級: 0 -> 1
買價: 0 -> 1
賣價: 0 -> 1",,,TRUE,成功於 2026-03-18 12:49 處理
,2026/3/23 上午 3:01:46,7043,黃晶沙,賣價: 10 -> 37,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/4/24 上午 10:10:21,1720,熾天使之弓,,,塔奧群卡(1583),TRUE,成功於 2026-05-07 12:36 處理
兩天,2026/4/25 下午 11:43:39,28599,白蛇戒指,,,小青(1631),TRUE,成功於 2026-05-07 12:36 處理
蕃茄,2026/5/25 上午 10:29:33,1002966,颶風纏繞的珠子,,,舞獅(1514),TRUE,成功於 2026-05-29 12:48 處理
蕃茄,2026/5/25 上午 10:30:08,1002967,颶風纏繞的露水,,,狐仙(1513),TRUE,成功於 2026-05-29 12:48 處理
