魔物名稱,等級,血量,95%迴避,100%命中,屬性,種族,體型,base經驗血量比(經驗值/血量),job經驗血量比,所屬地圖,魔物詳細資料
九尾狐,72,8719,364,320,火3,動物,中,0.6,0.12,斐揚洞穴4樓-廢村 (pay_d03_a)；斐揚洞穴4樓-廢村 (pay_d03_b)；斐揚洞穴4樓-廢村 (pay_d03_z)；斐揚洞穴5樓-廢村 (pay_d04_a)；斐揚洞穴5樓-廢村 (pay_d04_b)；斐揚洞穴5樓-廢村 (pay_d04_z)；斐揚洞穴4樓-廢村 (pay_dun03)；斐揚洞穴5樓-廢村 (pay_dun04),https://twroz.wiki/mob?search_query=1180
人魚,53,2158,271,305,水2,魚貝,中,0.5918,0.1084,海盜地洞密穴3樓 (iz_d02_a)；海盜地洞密穴3樓 (iz_d02_b)；海盜地洞密穴3樓 (iz_d02_z)；海底洞穴3樓 (iz_dun02),https://twroz.wiki/mob?search_query=1044
人魚士兵,60,2324,288,291,水3,人形,中,0.9596,0.1308,海盜地洞密穴5樓 (iz_d04_a)；海盜地洞密穴5樓 (iz_d04_b)；海盜地洞密穴5樓 (iz_d04_z)；海底洞穴5樓 (iz_dun04),https://twroz.wiki/mob?search_query=1264
人蔘精,117,186578,367,351,火2,植物,小,0.6,0,崑崙武陵道院 (gon_d03_a)；崑崙武陵道院 (gon_d03_b)；崑崙武陵道院 (gon_d03_z)；崑崙武陵道院 (gon_dun03),https://twroz.wiki/mob?search_query=1413
三葉蟲,66,6853,303,303,地1,昆蟲,小,0.6315,0.178,北邊洞穴盧安達 (bea_d02_a)；北邊洞穴盧安達 (bea_d02_b)；北邊洞穴盧安達 (bea_d02_z)；北邊洞穴盧安達 (beach_dun2),https://twroz.wiki/mob?search_query=1279
土人,68,6095,312,329,暗1,惡魔,小,0.6,0.1199,斐揚洞穴5樓-廢村 (pay_d04_a)；斐揚洞穴5樓-廢村 (pay_d04_b)；斐揚洞穴5樓-廢村 (pay_d04_z)；斐揚洞穴5樓-廢村 (pay_dun04),https://twroz.wiki/mob?search_query=1110
土波利,2,46,178,203,火1,植物,中,6.5217,0.6304,蘇克拉特沙漠 (moc_f12_a)；蘇克拉特沙漠 (moc_f12_b)；蘇克拉特沙漠 (moc_f12_z)；蘇克拉特沙漠 (moc_fild07)；蘇克拉特沙漠 (moc_fild12)；蘇克拉特沙漠 (pay_f04_a)；蘇克拉特沙漠 (pay_f04_b)；蘇克拉特沙漠 (pay_f04_z)；蘇克拉特沙漠 (pay_fild04)；玩具工廠倉庫 (xma_d01_a)；玩具工廠倉庫 (xma_d01_b)；玩具工廠倉庫 (xma_d01_z)；玩具工廠倉庫 (xmas_dun01),https://twroz.wiki/mob?search_query=1113
土撥鼠,78,11996,281,309,地2,動物,小,0.7199,0.0077,迷宮森林1樓 (maz_d01_a)；迷宮森林1樓 (maz_d01_b)；迷宮森林1樓 (maz_d01_z)；妙勒尼廢棄礦場1樓 (mjo_d01_a)；妙勒尼廢棄礦場1樓 (mjo_d01_b)；妙勒尼廢棄礦場1樓 (mjo_d01_z)；妙勒尼 廢棄礦場2樓 (mjo_d02_a)；妙勒尼 廢棄礦場2樓 (mjo_d02_b)；妙勒尼 廢棄礦場2樓 (mjo_d02_z)；妙勒尼廢棄礦場3樓 (mjo_d03_a)；妙勒尼廢棄礦場3樓 (mjo_d03_b)；妙勒尼廢棄礦場3樓 (mjo_d03_z)；妙勒尼廢棄礦場1樓 (mjo_dun01)；妙勒尼 廢棄礦場2樓 (mjo_dun02)；妙勒尼廢棄礦場3樓 (mjo_dun03)；迷宮森林1樓 (prt_maze01),https://twroz.wiki/mob?search_query=1145
士兵監護人,56,15670,343,320,無1,人形,大,0,0,,https://twroz.wiki/mob?search_query=1287
大斧哥布靈,52,3266,242,270,毒1,人形,中,0.5998,0.1108,吉芬區域 (gef_f11_a)；吉芬區域 (gef_f11_b)；吉芬區域 (gef_f11_z)；吉芬區域 (gef_fild11)；普隆德拉區域 (prt_f11_a)；普隆德拉區域 (prt_f11_b)；普隆德拉區域 (prt_f11_z)；普隆德拉區域 (prt_fild11),https://twroz.wiki/mob?search_query=1124
